"Game_id","Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Season_id","W_id","L_id","PtsW","PtsL"
"20060205_27_29",2006,"post","SB","2/5 6:18 ET","Pittsburgh",27,"PIT","Seattle",29,"SEA",-4,47,"N","N",2006-02-05,"6:18 PM",2006-02-05 18:18:00,"2005","27","29",21,10
"20060907_19_27",2006,"reg","1","9/7 8:30 ET","Pittsburgh",27,"PIT","Miami",19,"MIA",-1.5,34,"Y","N",2006-09-07,"8:30 PM",2006-09-07 20:30:00,"2006","27","19",28,17
"20060910_1_28",2006,"reg","1","9/10 4:15 ET","Arizona",1,"ARI","San Francisco",28,"SF",-9.5,43.5,"Y","N",2006-09-10,"4:15 PM",2006-09-10 16:15:00,"2006","1","28",34,27
"20060910_10_18",2006,"reg","1","9/10 1:00 ET","Denver",10,"DEN","St. Louis",18,"LAR",-3.5,45.5,"N","Y",2006-09-10,"1:00 PM",2006-09-10 13:00:00,"2006","18","10",18,10
"20060910_11_29",2006,"reg","1","9/10 1:00 ET","Seattle",29,"SEA","Detroit",11,"DET",-6,44,"N","Y",2006-09-10,"1:00 PM",2006-09-10 13:00:00,"2006","29","11",9,6
"20060910_13_26",2006,"reg","1","9/10 1:00 ET","Philadelphia",26,"PHI","Houston",13,"HOU",-6,38,"N","Y",2006-09-10,"1:00 PM",2006-09-10 13:00:00,"2006","26","13",24,10
"20060910_14_23",2006,"reg","1","9/10 8:15 ET","Indianapolis",14,"IND","NY Giants",23,"NYG",-3,48,"N","Y",2006-09-10,"8:15 PM",2006-09-10 20:15:00,"2006","14","23",26,21
"20060910_2_5",2006,"reg","1","9/10 1:00 ET","Carolina",5,"CAR","Atlanta",2,"ATL",-4.5,38.5,"Y","N",2006-09-10,"1:00 PM",2006-09-10 13:00:00,"2006","2","5",20,6
"20060910_24_31",2006,"reg","1","9/10 1:00 ET","Tennessee",31,"TEN","NY Jets",24,"NYJ",-3,35.5,"Y","N",2006-09-10,"1:00 PM",2006-09-10 13:00:00,"2006","24","31",23,16
"20060910_3_30",2006,"reg","1","9/10 1:00 ET","Tampa Bay",30,"TB","Baltimore",3,"BAL",-3,33.5,"Y","N",2006-09-10,"1:00 PM",2006-09-10 13:00:00,"2006","3","30",27,0
