"Year","Week","Date & Time","Favorite","Line","Underdog","Total","Game_Type"
"2017","1","9/7 8:30 ET","At New England","-9","Kansas City","42","reg"
"2017","1","9/10 1:00 ET","At Buffalo","-7.5","NY Jets","42","reg"
"2017","1","9/10 1:00 ET","Atlanta","-7","At Chicago","48","reg"
"2017","1","9/10 1:00 ET","At Houston","-5.5","Jacksonville","38","reg"
"2017","1","9/10 1:00 ET","Philadelphia","-1","At Washington","49.5","reg"
"2017","1","9/10 1:00 ET","Arizona","-2","At Detroit","48.5","reg"
"2017","1","9/10 1:00 ET","At Tennessee","-2.5","Oakland","50.5","reg"
"2017","1","9/10 1:00 ET
Postponed","Tampa Bay","-2.5","At Miami","41.5","reg"
"2017","1","9/10 1:00 ET","At Cincinnati","-3","Baltimore","41","reg"
"2017","1","9/10 1:00 ET","Pittsburgh","-10","At Cleveland","47","reg"
"2017","1","9/10 4:05 ET","At LA Rams","-3.5","Indianapolis","41.5","reg"
"2017","1","9/10 4:25 ET","At Green Bay","-2.5","Seattle","49.5","reg"
"2017","1","9/10 4:25 ET","Carolina","-4.5","At San Francisco","45","reg"
"2017","1","9/10 8:30 ET","At Dallas","-6","NY Giants","46.5","reg"
"2017","1","9/11 7:10 ET","At Minnesota","-3","New Orleans","47.5","reg"
"2017","1","9/11 10:20 ET","At Denver","-3","LA Chargers","42","reg"
"2016","1","9/8 8:30 ET","Carolina","-3","At Denver","40.5","reg"
"2016","1","9/11 1:00 ET","At Atlanta","-2.5","Tampa Bay","47","reg"
"2016","1","9/11 1:00 ET","Minnesota","-2.5","At Tennessee","40","reg"
"2016","1","9/11 1:00 ET","At Philadelphia","-3.5","Cleveland","41","reg"
"2016","1","9/11 1:00 ET","Cincinnati","-1","At NY Jets","42","reg"
"2016","1","9/11 1:00 ET","At New Orleans","-3","Oakland","50.5","reg"
"2016","1","9/11 1:00 ET","At Kansas City","-6.5","San Diego","46","reg"
"2016","1","9/11 1:00 ET","At Baltimore","-3","Buffalo","44.5","reg"
"2016","1","9/11 1:00 ET","At Houston","-5.5","Chicago","42.5","reg"
"2016","1","9/11 1:00 ET","Green Bay","-3.5","At Jacksonville","47.5","reg"
"2016","1","9/11 4:05 ET","At Seattle","-10.5","Miami","44","reg"
"2016","1","9/11 4:25 ET","NY Giants","-1","At Dallas","47.5","reg"
"2016","1","9/11 4:25 ET","At Indianapolis","-2.5","Detroit","51.5","reg"
"2016","1","9/11 8:30 ET","At Arizona","-8.5","New England","44","reg"
"2016","1","9/12 7:10 ET","Pittsburgh","-2.5","At Washington","49","reg"
"2016","1","9/12 10:20 ET","Los Angeles","-2.5","At San Francisco","43.5","reg"
"2015","1","9/10 8:30 ET","At New England","-7","Pittsburgh","51","reg"
"2015","1","9/13 1:00 ET","Green Bay","-6.5","At Chicago","48.5","reg"
"2015","1","9/13 1:00 ET","Kansas City","-1","At Houston","40.5","reg"
"2015","1","9/13 1:00 ET","At NY Jets","-3.5","Cleveland","38.5","reg"
"2015","1","9/13 1:00 ET","Indianapolis","-1","At Buffalo","44.5","reg"
"2015","1","9/13 1:00 ET","Miami","-4","At Washington","45.5","reg"
"2015","1","9/13 1:00 ET","Carolina","-3","At Jacksonville","41","reg"
"2015","1","9/13 1:00 ET","Seattle","-3.5","At St. Louis","41","reg"
"2015","1","9/13 4:05 ET","At Arizona","-2.5","New Orleans","48.5","reg"
"2015","1","9/13 4:05 ET","At San Diego","-3.5","Detroit","45.5","reg"
"2015","1","9/13 4:25 ET","At Tampa Bay","-3","Tennessee","40.5","reg"
"2015","1","9/13 4:25 ET","Cincinnati","-3","At Oakland","43","reg"
"2015","1","9/13 4:25 ET","At Denver","-4.5","Baltimore","46.5","reg"
"2015","1","9/13 8:30 ET","At Dallas","-7","NY Giants","52.5","reg"
"2015","1","9/14 7:10 ET","Philadelphia","-3","At Atlanta","56","reg"
