"Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Game_id"
2018,"post","SB","2/4 6:30 ET","New England",21,"NE","Philadelphia",26,"PHI",-4.5,49,"N","N",2018-02-04,"6:30 PM",2018-02-04 18:30:00,"20180204_21_26"
2018,"post","Conf","1/21 6:40 ET","Minnesota",20,"MIN","Philadelphia",26,"PHI",-3,39,"N","Y",2018-01-21,"6:40 PM",2018-01-21 18:40:00,"20180121_20_26"
2018,"post","Conf","1/21 3:05 ET","New England",21,"NE","Jacksonville",15,"JAX",-7.5,45.5,"Y","N",2018-01-21,"3:05 PM",2018-01-21 15:05:00,"20180121_15_21"
2018,"post","Div","1/14 4:40 ET","Minnesota",20,"MIN","New Orleans",22,"NO",-5.5,47,"Y","N",2018-01-14,"4:40 PM",2018-01-14 16:40:00,"20180114_20_22"
2018,"post","Div","1/14 1:05 ET","Pittsburgh",27,"PIT","Jacksonville",15,"JAX",-7,41,"Y","N",2018-01-14,"1:05 PM",2018-01-14 13:05:00,"20180114_15_27"
2018,"post","Div","1/13 8:15 ET","New England",21,"NE","Tennessee",31,"TEN",-14,48,"Y","N",2018-01-13,"8:15 PM",2018-01-13 20:15:00,"20180113_21_31"
2018,"post","Div","1/13 4:35 ET","Atlanta",2,"ATL","Philadelphia",26,"PHI",-2.5,40.5,"N","Y",2018-01-13,"4:35 PM",2018-01-13 16:35:00,"20180113_2_26"
2018,"post","WC","1/7 4:30 ET","New Orleans",22,"NO","Carolina",5,"CAR",-6.5,48,"Y","N",2018-01-07,"4:30 PM",2018-01-07 16:30:00,"20180107_5_22"
2018,"post","WC","1/7 1:00 ET","Jacksonville",15,"JAX","Buffalo",4,"BUF",-8.5,40,"Y","N",2018-01-07,"1:00 PM",2018-01-07 13:00:00,"20180107_4_15"
2018,"post","WC","1/6 8:15 ET","LA Rams",18,"LAR","Atlanta",2,"ATL",-6,48.5,"Y","N",2018-01-06,"8:15 PM",2018-01-06 20:15:00,"20180106_2_18"
2018,"post","WC","1/6 4:30 ET","Kansas City",16,"KC","Tennessee",31,"TEN",-8.5,44,"Y","N",2018-01-06,"4:30 PM",2018-01-06 16:30:00,"20180106_16_31"
2017,"reg","8","10/30 8:30 ET","Kansas City",16,"KC","Denver",10,"DEN",-7,42,"Y","N",2017-10-30,"8:30 PM",2017-10-30 20:30:00,"20171030_10_16"
2017,"reg","8","10/29 8:30 ET","Pittsburgh",27,"PIT","Detroit",11,"DET",-3,45,"N","Y",2017-10-29,"8:30 PM",2017-10-29 20:30:00,"20171029_11_27"
2017,"reg","8","10/29 4:25 ET","Dallas",9,"DAL","Washington",32,"WAS",-3,46.5,"N","Y",2017-10-29,"4:25 PM",2017-10-29 16:25:00,"20171029_9_32"
2017,"reg","8","10/29 4:05 ET","Seattle",29,"SEA","Houston",13,"HOU",-6.5,45,"Y","N",2017-10-29,"4:05 PM",2017-10-29 16:05:00,"20171029_13_29"
2017,"reg","8","10/29 1:00 ET","Philadelphia",26,"PHI","San Francisco",28,"SF",-13,44.5,"Y","N",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_26_28"
2017,"reg","8","10/29 1:00 ET","Tampa Bay",30,"TB","Carolina",5,"CAR",-1,46,"Y","N",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_5_30"
2017,"reg","8","10/29 1:00 ET","New Orleans",22,"NO","Chicago",6,"CHI",-8.5,46,"Y","N",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_6_22"
2017,"reg","8","10/29 1:00 ET","New England",21,"NE","LA Chargers",17,"LAC",-7,49,"Y","N",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_17_21"
2017,"reg","8","10/29 1:00 ET","Atlanta",2,"ATL","NY Jets",24,"NYJ",-6.5,44,"N","Y",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_2_24"
2017,"reg","8","10/29 1:00 ET","Buffalo",4,"BUF","Oakland",25,"OAK",-2,47.5,"Y","N",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_4_25"
2017,"reg","8","10/29 1:00 ET","Cincinnati",7,"CIN","Indianapolis",14,"IND",-10.5,44,"Y","N",2017-10-29,"1:00 PM",2017-10-29 13:00:00,"20171029_7_14"
2017,"reg","8","10/29 9:30 AM","Minnesota",20,"MIN","Cleveland",8,"CLE",-11,38.5,"N","Y",2017-10-29,"9:30 AM",2017-10-29 09:30:00,"20171029_8_20"
2017,"reg","8","10/26 8:25 ET","Baltimore",3,"BAL","Miami",19,"MIA",-3,38,"Y","N",2017-10-26,"8:25 PM",2017-10-26 20:25:00,"20171026_3_19"
2017,"reg","7","10/23 8:30 ET","Philadelphia",26,"PHI","Washington",32,"WAS",-5.5,49,"Y","N",2017-10-23,"8:30 PM",2017-10-23 20:30:00,"20171023_26_32"
2017,"reg","7","10/22 8:30 ET","New England",21,"NE","Atlanta",2,"ATL",-3,57,"Y","N",2017-10-22,"8:30 PM",2017-10-22 20:30:00,"20171022_2_21"
2017,"reg","7","10/22 4:25 ET","Denver",10,"DEN","LA Chargers",17,"LAC",-1,41,"N","Y",2017-10-22,"4:25 PM",2017-10-22 16:25:00,"20171022_10_17"
2017,"reg","7","10/22 4:25 ET","Pittsburgh",27,"PIT","Cincinnati",7,"CIN",-4,40,"Y","N",2017-10-22,"4:25 PM",2017-10-22 16:25:00,"20171022_7_27"
2017,"reg","7","10/22 4:05 ET","Dallas",9,"DAL","San Francisco",28,"SF",-6.5,48,"N","Y",2017-10-22,"4:05 PM",2017-10-22 16:05:00,"20171022_9_28"
2017,"reg","7","10/22 4:05 ET","Seattle",29,"SEA","NY Giants",23,"NYG",-4,39,"N","Y",2017-10-22,"4:05 PM",2017-10-22 16:05:00,"20171022_23_29"
2017,"reg","7","10/22 1:00 ET","LA Rams",18,"LAR","Arizona",1,"ARI",-3,45.5,"Y","N",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_1_18"
2017,"reg","7","10/22 1:00 ET","New Orleans",22,"NO","Green Bay",12,"GB",-4,45.5,"N","Y",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_12_22"
2017,"reg","7","10/22 1:00 ET","Buffalo",4,"BUF","Tampa Bay",30,"TB",-3,46,"Y","N",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_4_30"
2017,"reg","7","10/22 1:00 ET","Carolina",5,"CAR","Chicago",6,"CHI",-3,39.5,"N","Y",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_5_6"
2017,"reg","7","10/22 1:00 ET","Minnesota",20,"MIN","Baltimore",3,"BAL",-5,38,"Y","N",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_3_20"
2017,"reg","7","10/22 1:00 ET","Tennessee",31,"TEN","Cleveland",8,"CLE",-6,42.5,"N","Y",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_8_31"
2017,"reg","7","10/22 1:00 ET","Miami",19,"MIA","NY Jets",24,"NYJ",-3,39.5,"Y","N",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_19_24"
2017,"reg","7","10/22 1:00 ET","Jacksonville",15,"JAX","Indianapolis",14,"IND",-3,41.5,"N","Y",2017-10-22,"1:00 PM",2017-10-22 13:00:00,"20171022_14_15"
2017,"reg","7","10/19 8:25 ET","Kansas City",16,"KC","Oakland",25,"OAK",-3,46.5,"N","Y",2017-10-19,"8:25 PM",2017-10-19 20:25:00,"20171019_16_25"
2017,"reg","6","10/16 8:30 ET","Tennessee",31,"TEN","Indianapolis",14,"IND",-7,46.5,"Y","N",2017-10-16,"8:30 PM",2017-10-16 20:30:00,"20171016_14_31"
2017,"reg","6","10/15 8:30 ET","Denver",10,"DEN","NY Giants",23,"NYG",-13.5,37.5,"Y","N",2017-10-15,"8:30 PM",2017-10-15 20:30:00,"20171015_10_23"
2017,"reg","6","10/15 4:25 ET","Oakland",25,"OAK","LA Chargers",17,"LAC",-3,48,"Y","N",2017-10-15,"4:25 PM",2017-10-15 16:25:00,"20171015_17_25"
2017,"reg","6","10/15 4:25 ET","Kansas City",16,"KC","Pittsburgh",27,"PIT",-3.5,46,"Y","N",2017-10-15,"4:25 PM",2017-10-15 16:25:00,"20171015_16_27"
2017,"reg","6","10/15 4:05 ET","Tampa Bay",30,"TB","Arizona",1,"ARI",-2.5,47,"N","Y",2017-10-15,"4:05 PM",2017-10-15 16:05:00,"20171015_1_30"
